"","team","passer","time","mins","secs","x.start","y.start","x.end","y.end","outcome","assist","key","headed","throw","receiver"
"304","Hudd Town","Christopher Schindler",1423,23,43,29.9,83,63.4,91.1,"failed","0","0","0","0","Joseph Gomez"
"305","Liverpool","Joseph Gomez",1427,23,47,38.8,7.1,57.5,10.1,"failed","0","0","1","0","Chris Löwe"
"306","Hudd Town","Aaron Mooy",1428,23,48,52.1,86.2,47.1,80.8,"completed","0","0","0","0","Aaron Mooy"
"307","Hudd Town","Jonathan Hogg",1428,23,48,48.1,85,52.1,86.2,"completed","0","0","0","0","Aaron Mooy"
"308","Liverpool","Daniel Sturridge",1442,24,2,64.2,55.2,66.4,61.2,"failed","0","0","0","0","Tom Ince"
"309","Liverpool","Jordan Henderson",1443,24,3,60,71.8,66.8,66.7,"completed","0","0","0","0","James Milner"
"310","Liverpool","James Milner",1444,24,4,66.8,66.7,43.5,63.4,"completed","0","0","0","0","Ragnar Klavan"
"311","Liverpool","Ragnar Klavan",1445,24,5,43.5,63.4,54.6,44.3,"completed","0","0","0","0","Joel Matip"
"312","Liverpool","Joel Matip",1448,24,8,54.6,44.3,56.5,65.1,"completed","0","0","0","0","Jordan Henderson"
"313","Liverpool","Jordan Henderson",1449,24,9,58.4,66.1,67.3,78.2,"completed","0","0","0","0","Georginio Wijnaldum"
"314","Liverpool","Georginio Wijnaldum",1452,24,12,66.1,78.2,77.7,92.6,"completed","0","0","0","0","Roberto Firmino"
"315","Liverpool","Roberto Firmino",1461,24,21,73.9,79,92.6,91.1,"completed","0","0","0","0","Simon Mignolet"
"316","Hudd Town","Tom Ince",1495,24,55,12.7,66.3,55.7,74.4,"failed","0","0","0","0","Jonas Lössl"
"317","Liverpool","Roberto Firmino",1497,24,57,72.2,96,66.5,77.2,"completed","0","0","0","0","Georginio Wijnaldum"
"318","Liverpool","Georginio Wijnaldum",1499,24,59,67,78.1,60,71.8,"completed","0","0","0","0","Jordan Henderson"
"319","Liverpool","Simon Mignolet",1524,25,24,42.5,23.3,48.6,28.2,"completed","0","0","0","0","Jordan Henderson"
"320","Hudd Town","Jonas Lössl",1533,25,33,14.6,44.6,55.4,66.6,"failed","0","0","0","0","Laurent Depoitre"
"321","Liverpool","Jordan Henderson",1539,25,39,45.6,35.2,44.6,24.7,"completed","0","0","0","0","Joseph Gomez"
"322","Liverpool","Joseph Gomez",1540,25,40,44.6,24.7,44.4,57,"completed","0","0","0","0","Ragnar Klavan"
"323","Liverpool","Ragnar Klavan",1542,25,42,44.5,57.5,57.7,93.5,"completed","0","0","0","0","James Milner"
"324","Liverpool","James Milner",1544,25,44,61.9,90,73.2,95.4,"completed","0","0","0","0","Alberto Moreno"
"325","Liverpool","Alberto Moreno",1545,25,45,73.2,95.4,56,89.4,"completed","0","0","0","0","James Milner"
"326","Liverpool","James Milner",1548,25,48,56,89.4,57.8,78.4,"completed","0","0","0","0","Roberto Firmino"
